First Name,Surname,Team,Pos,£Start,£End,Total Points,Points Per Game,Transfers In,Transfers Out,Season Value,Minutes,Goals,Assists,Clean Sheets,Goals Conceded,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus Points,BPS,Influence,Creativity,Threat,ICT Index,Influence Rank,Creativity Rank,Threat Rank,ICT Index Rank
Oliver,Norwood,SHU,MID,5,4.7,98,2.6,134571,114636,20.9,3089,1,3,13,36,0,0,0,8,0,0,6,563,608,809,100,152,74,18,282,66
Richard,Stearman,SHU,DEF,4,3.9,0,0,134495,196153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,485,452,509
Mohamed,Elneny,ARS,MID,4.5,4.2,0,0,131138,132596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,551,525,569
Matt,Ritchie,NEW,DEF,5.5,5.3,74,4.1,130360,102921,14,1312,2,1,8,19,0,0,1,4,0,0,7,293,285,483,218,99,252,59,185,157
Seamus,Coleman,EVE,DEF,5.5,5.3,55,2,129705,274884,10.4,1833,0,1,5,29,0,0,0,3,1,0,2,325,321,149,175,65,228,240,220,254
Mbwana,Samatta,AVL,FWD,6,5.1,29,2.1,129691,115142,5.7,940,1,0,4,18,0,0,0,1,0,0,2,74,68,132,245,44,408,249,166,321
Marvelous,Nakamba,AVL,MID,4.5,4.4,43,1.5,128880,115172,9.8,1826,0,0,1,37,0,0,0,5,0,0,0,273,292,163,24,48,247,228,384,312
Andreas,Pereira,MUN,MID,5,4.7,60,2.4,128659,136510,12.8,1478,1,3,6,16,0,0,0,3,0,0,1,198,246,432,343,102,279,84,115,146
Adam,Webster,BHA,DEF,4.5,4.4,88,2.8,126996,101981,20,2668,3,1,5,44,1,0,0,4,0,0,7,514,697,153,221,107,54,235,182,134
Kyle,Walker-Peters,SOT,DEF,5,4.4,32,2.5,124026,314020,7.3,944,0,1,2,12,0,0,0,1,0,0,2,194,168,109,48,32,335,267,351,352
Danny,Rose,NEW,DEF,5.5,5.3,47,2,123385,230910,8.9,1753,0,0,5,28,0,0,0,7,0,0,0,290,288,231,44,57,249,181,357,280
Maximillian,Aarons,NOR,DEF,4.5,4.2,66,1.8,122237,216612,15.7,3240,0,2,5,71,0,0,0,7,0,0,3,489,567,385,237,119,88,104,170,112
Kayne,Ramsay,SOT,DEF,4,3.9,0,0,122150,134608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,502,471,524
Jay,Rodriguez,BUR,FWD,6,5.7,100,2.8,121332,81410,17.5,2002,8,2,7,34,0,0,0,1,0,0,9,282,431,135,827,138,171,247,39,83
Matthew,Lowton,BUR,DEF,4.5,4.2,48,2.8,120253,125868,11.4,1530,0,1,6,31,0,0,0,2,0,0,1,270,294,182,15,49,246,217,407,307
James,McCarthy,CRY,MID,4.5,4.2,41,1.2,118150,106549,9.8,1668,0,0,2,29,0,0,0,9,0,0,0,205,269,268,80,62,265,157,306,264
Aaron,Mooy,BHA,MID,5,4.7,80,2.6,116751,108360,17,2079,2,2,6,33,0,0,0,1,1,0,9,337,437,615,291,134,165,31,138,87
Pascal,Groß,BHA,MID,6.5,6.2,76,2.6,115179,142704,12.3,1791,2,5,3,32,1,0,0,4,0,0,7,326,388,909,323,162,192,12,126,58
Jack,Robinson,SHU,DEF,4,4,14,2.3,114507,51695,3.5,504,0,0,1,11,0,0,0,0,0,0,2,87,107,30,2,14,377,375,441,410
Ahmed,El Mohamady,AVL,DEF,4.5,4.1,39,2.2,113346,177996,9.5,1024,1,1,2,28,0,0,0,1,0,0,7,224,255,324,67,65,273,127,324,253
John,Stones,MCI,DEF,5.5,5.3,34,2.1,110733,282236,6.4,1118,0,0,3,16,0,0,0,0,0,0,0,231,216,53,66,34,307,343,325,349
Odion,Ighalo,MUN,FWD,6.5,5.9,11,1,110175,91583,1.9,92,0,0,0,0,0,0,0,0,0,0,0,24,23,24,135,18,447,398,246,398
Arthur,Masuaku,WHU,DEF,4.5,4.1,26,1.5,109481,114026,6.3,930,0,1,2,18,0,0,0,4,1,0,3,166,241,129,53,42,281,254,344,328
Oliver,McBurnie,SHU,FWD,6,5.5,86,2.4,107360,89856,15.6,2105,6,1,9,25,0,0,0,4,0,0,6,300,424,187,830,144,174,208,38,75
Victor,Lindelöf,MUN,DEF,5.5,5.3,116,3.3,106623,135908,21.9,3092,1,0,12,32,1,0,0,6,0,0,9,618,554,74,79,71,99,305,308,230
Frédéric,Guilbert,AVL,DEF,4.5,4.3,62,2.5,105536,118783,14.4,2038,0,2,6,36,0,0,0,7,0,0,4,342,451,242,77,77,154,171,311,206
Martín,Montoya,BHA,DEF,4.5,4.3,62,2.3,104271,120056,14.4,1892,0,1,6,32,0,0,0,5,0,0,3,313,337,338,177,86,220,123,217,187
Bjorn,Engels,AVL,DEF,4.5,4.3,42,2.5,103846,99993,9.8,1446,1,0,3,32,0,0,0,1,0,0,4,252,330,32,81,45,226,373,304,319
Nampalys,Mendy,LEI,MID,4.5,4.3,11,1.6,102446,123565,2.6,288,0,0,1,3,0,0,0,0,0,0,0,71,57,52,9,12,418,344,418,418
Ezequiel,Schelotto,BHA,DEF,4,3.9,9,1.2,102165,66213,2.3,357,0,0,0,7,0,0,0,2,0,0,0,40,38,13,65,11,431,417,327,419
Ryan,Bertrand,SOT,DEF,5,4.8,75,2.3,100271,103024,15.6,2742,1,1,7,52,0,0,0,3,1,0,0,432,437,539,234,121,164,49,174,110
Lucas,Torreira,ARS,MID,5,4.7,46,1.6,100266,181492,9.8,1501,1,1,3,23,0,0,0,7,0,0,0,247,282,207,207,70,254,194,195,234
Billy,Sharp,SHU,FWD,6,5.2,57,2.3,100213,138062,11,1037,3,2,4,10,0,0,0,1,1,0,9,159,175,186,348,70,330,210,113,233
Eric,Garcia,MCI,DEF,4.5,4.5,38,2.9,99409,28635,8.4,790,0,0,5,7,0,0,0,1,0,0,0,189,153,42,26,22,346,356,378,385
Tahith,Chong,MUN,MID,4.5,4.2,3,1,99203,94600,0.7,34,0,0,0,0,0,0,0,0,0,0,0,6,1,1,6,1,498,467,430,497
Michy,Batshuayi,CHE,FWD,7,6.6,28,1.8,98087,136050,4.2,224,1,2,0,8,0,0,0,0,0,0,1,59,62,43,185,28,412,355,211,363
Chris,Mepham,BOU,DEF,4.5,4.3,27,2.2,95145,124466,6.3,911,1,0,1,19,0,0,0,1,0,0,2,165,277,21,138,44,258,404,244,325
Davy,Pröpper,BHA,MID,5,4.8,78,2.2,93813,99021,16.2,2826,1,2,6,46,1,0,0,4,0,0,2,441,522,434,271,123,123,81,150,106
Kelechi,Iheanacho,LEI,FWD,6,5.7,64,3.2,93588,93154,11.2,953,5,4,3,9,0,0,0,1,0,0,7,204,288,204,603,109,250,195,59,127
Andreas,Christensen,CHE,DEF,5,4.8,34,1.6,92965,122993,7.1,1751,0,0,3,33,0,0,0,5,0,0,0,325,354,71,96,52,208,311,289,295
Christian,Kabasele,WAT,DEF,4.5,4.3,73,2.7,91716,77584,17,2250,0,2,7,35,0,0,0,1,2,0,4,382,477,55,164,70,143,339,227,232
Moise,Kean,EVE,FWD,7,6.3,53,1.8,90777,458734,8.4,830,2,2,1,15,0,0,0,1,0,0,5,138,154,137,429,71,345,246,88,228
Alexandre Nascimento,Costa Silva,WHU,FWD,4.5,4.3,0,0,90312,175663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,568,547,583
Troy,Parrott,SPU,FWD,4.5,4.3,2,1,90241,107260,0.5,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,503,482,553,588
James,Tomkins,CRY,DEF,5,4.9,48,2.7,88428,81565,9.8,1582,1,1,3,23,0,0,0,5,0,0,4,260,384,28,121,53,194,389,260,290
Javier,Hernández Balcázar,WHU,FWD,6,6,9,4.5,87265,142695,1.5,106,1,0,0,4,0,0,0,0,0,0,2,27,36,2,39,8,434,452,364,434
Rhian,Brewster,LIV,FWD,4.5,4.2,0,0,83506,98659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,554,528,572
Granit,Xhaka,ARS,MID,5.5,5.1,73,2.4,82616,138134,14.3,2586,1,2,10,31,0,0,0,10,0,0,2,408,486,299,110,90,140,140,267,177
Luke,Shaw,MUN,DEF,5.5,5.4,67,2.8,81639,168942,12.4,1730,0,0,8,15,0,0,0,7,0,0,2,381,344,321,187,85,218,131,208,188
Johann Berg,Gudmundsson,BUR,MID,6,5.9,30,2.5,80810,117200,5.1,617,1,1,3,7,0,0,0,0,0,0,1,98,119,215,108,44,365,188,270,323
James,Justin,LEI,DEF,5,4.7,35,2.7,80152,47932,7.4,1010,0,1,4,14,1,0,0,1,0,0,0,196,241,195,61,50,282,202,334,305
Antonio,Rüdiger,CHE,DEF,6,5.9,63,3.1,77064,61790,10.7,1710,2,0,5,24,1,0,0,3,0,0,5,351,389,93,194,68,191,284,201,243
Luka,Milivojevic,CRY,MID,7,6.7,81,2.6,75590,462256,12.1,2510,3,1,7,38,0,0,0,12,0,0,9,382,460,499,190,115,147,55,204,119
Sebastian,Prödl,WAT,DEF,4,3.9,1,1,71138,125821,0.3,56,0,0,0,0,0,0,0,0,0,0,0,3,2,0,8,1,496,480,421,490
Henri,Lansbury,AVL,MID,4.5,4.4,12,1.2,69556,68310,2.7,190,0,0,0,6,0,0,0,0,0,0,0,37,13,27,13,6,462,390,408,449
Dwight,Gayle,NEW,FWD,5,5,58,2.9,69528,37964,11.6,842,4,2,4,15,0,0,0,2,0,0,10,190,217,86,348,65,305,290,112,252
Sam,Surridge,BOU,FWD,4.5,4.3,4,1,69178,95449,0.9,25,0,0,0,2,0,0,0,0,0,0,0,3,3,11,24,3,488,424,383,462
Ciaran,Clark,NEW,DEF,4.5,4.3,49,3.5,67706,71888,11.4,1186,2,0,4,14,0,0,0,3,0,0,2,216,331,15,128,48,224,414,252,314
Luke,Thomas,LEI,DEF,4,4,15,5,67013,6023,3.8,267,0,1,1,4,0,0,0,0,0,0,3,70,78,150,10,24,398,239,416,378
Roberto,Jimenez Gago,WHU,GKP,4.5,4.4,18,2.2,66439,74451,4.1,686,0,0,0,17,1,0,0,0,0,36,1,134,239,0,0,24,284,574,555,379
Adam,Smith,BOU,DEF,4.5,4.3,49,2,66379,142204,11.4,2055,0,1,4,40,0,0,0,7,0,0,3,309,310,183,97,59,235,214,286,273
Sead,Kolasinac,ARS,DEF,5.5,5.2,55,2.1,65194,134275,10.6,1694,0,2,4,26,0,0,0,4,0,0,1,331,270,183,81,53,264,215,305,293
Will,Hughes,WAT,MID,5.5,5.3,62,2.1,64913,71844,11.7,2249,1,1,5,46,0,0,0,9,0,0,3,265,352,413,270,104,210,97,151,144
Jesse,Lingard,MUN,MID,6.5,6.3,32,1.5,64075,129253,5.1,923,1,0,1,14,0,0,0,3,0,0,0,99,109,278,297,68,375,151,135,241
Andy,King,LEI,MID,4.5,4.2,0,0,63734,84188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,536,508,555
Davinson,Sánchez,SPU,DEF,5.5,5.3,64,2.2,62815,92382,12.1,2431,0,2,4,37,0,0,0,6,0,0,4,443,550,31,82,67,104,374,302,245
Naby,Keita,LIV,MID,6,5.8,52,2.9,60645,78659,9,806,2,3,5,8,0,0,0,1,0,0,3,224,282,235,169,69,255,179,225,238
Oliver,Skipp,SPU,MID,4.5,4.2,7,1,59396,60759,1.7,74,0,0,0,1,0,0,0,0,0,0,0,23,15,2,0,2,459,460,530,479
